headline , snippet , date,name,age,day of death,month of death,year of death
"Allan Stanley, 87, Dies- Helped Maple Leafs Win 4 N.H.L. Titles","Stanley, who played 21 seasons and was noted for a lumbering skating style, won four Stanley Cups with Toronto in the 1960s, including the team’s last championship, in 1967.",2013-10-30T00:00:00Z,Allan Stanley,,,,
"William Harrison, 79, Novelist and ‘Rollerball’ Writer, Dies",Mr. Harrison also wrote the film “Mountains of the Moon” and taught at the University of Arkansas.,2013-10-30T00:00:00Z,William Harrison,79,30,10,2013
"John Kerr, Star of ‘Tea and Sympathy,’ Dies at 81",Mr. Kerr was a Tony Award winner known for roles in the 1950s that challenged bigotry.,2013-02-09T00:00:00Z,John Kerr,81,9,2,2013
"Chico Hamilton, Drummer, Bandleader and Exponent of Cool Jazz, Dies at 92","Mr. Hamilton, from the Los Angeles area, had a subtle and melodic approach that made him ideally suited for the refined, understated style that came to be known as cool jazz.",2013-11-27T00:00:00Z,Chico Hamilton,92,27,11,2013
"Lawrence O. Kitchen, Steady Hand for Lockheed, Dies at 90",Mr. Kitchen rose through the ranks of the aerospace company during a 30-year career and led the company through rocky tussles with governments during the 1980s.,2013-12-24T00:00:00Z,Lawrence O. Kitchen,90,24,12,2013
"Hjalmar Andersen, Norwegian Speedskater, Dies at 90",Hjalmar Andersen broke world records in the early 1950s and won three gold medals at the 1952 Winter Olympics in Oslo.,2013-03-28T00:00:00Z,Hjalmar Andersen,90,28,3,2013
"Tony Musante, Actor Known for Role in ‘Toma,’ Dies at 77","Mr. Musante acted on stage and in many films in the United States and Europe, working with Gene Hackman, Meryl Streep and George C. Scott.",2013-11-28T00:00:00Z,Tony Musante,77,28,11,2013
"James DePreist, a Pioneering Conductor, Dies at 76","Mr. DePreist, one of the few black conductors to achieve international renown, refused to let disability derail his career.",2013-02-10T00:00:00Z,James DePreist,76,10,2,2013
"C. Everett Koop, Ex-Surgeon General, Dies at 96",Dr. Koop raised the profile of the nation’s surgeon general by speaking frankly about AIDS and the dangers of smoking.,2013-02-25T16:51:26Z,C. Everett Koop,96,25,2,2013
"Manna Dey, 94, the Voice of Many a Bollywood Star, Dies","Mr. Dey was an acclaimed playback singer for Bengali as well as Bollywood films, but like most Bollywood singers, he was not seen onscreen.",2013-11-01T00:00:00Z,Manna Dey,94,1,11,2013
"Wilfried Martens, Belgian Statesman, Dies at 77","Mr. Martens, a longtime prime minister, is credited with helping to keep together his linguistically divided country.",2013-10-11T00:00:00Z,Wilfried Martens,77,11,10,2013
"Bruno Bartoletti, Maestro Who Shaped Lyric Opera of Chicago, Dies at 86",Mr. Bartoletti was considered a superb interpreter of the 19th- and early-20th-century music of Italian masters.,2013-06-14T00:00:00Z,Bruno Bartoletti,86,14,6,2013
"William C. Campbell, a Leader in Golf, Dies at 90",Mr. Campbell was a champion of golf’s amateur era who later led his sport’s two most prestigious governing organizations.,2013-09-09T00:00:00Z,William C. Campbell,90,9,9,2013
"Earl Williams, Baseball Slugger, Dies at 64","Williams won the National League’s rookie of the year award in 1971, but was out of major league baseball by the end of the decade.",2013-02-02T00:00:00Z,Earl Williams,64,2,2,2013
"Kenneth Wallis, British Pilot of Bombers and Odder Flying Machines, Dies at 97","Mr. Wallis was an enthusiastic maker, flier and promoter of autogyros, buglike vehicles similar to helicopters.",2013-09-10T00:00:00Z,Kenneth Wallis,97,10,9,2013
"Ken Venturi, U.S. Open Golf Champion and Broadcaster, Dies at 82","Mr. Venturi won the 1964 United States Open, nearly collapsing from heat exhaustion. He later became a chief golf analyst for CBS Sports, where he worked for 35 years.",2013-05-18T00:00:00Z,Ken Venturi,82,18,5,2013
"Howard J. Phillips, Stalwart Conservative, Dies at 72",Mr. Phillips could be a thorn in the side even of fellow Republicans for his devotion to ideological principles such as limited government and traditional family values.,2013-04-24T00:00:00Z,Howard J. Phillips,72,24,4,2013
"George L. Shinn, a Wall Street Chief Who Turned to Teaching, Dies at 90","Mr. Shinn, a former president of Merrill Lynch, also led the First Boston Corporation as chairman and chief executive, but left unexpectedly to pursue teaching.",2013-12-19T00:00:00Z,George L. Shinn,90,19,12,2013
"Jean Banchet, Chef Who Translated French Cuisine, Dies at 72",Mr. Banchet’s traditional French cooking helped turn the Chicago suburbs into a global destination for food-lovers in the 1970s and ’80s.,2013-11-26T00:00:00Z,Jean Banchet,72,26,11,2013
"Ed Lauter, Actor With a Familiar Face, Dies at 74","Mr. Lauter, a recognizable figure known for his menacing characters, acted for five decades and was in “Trouble in the Curve” last year.",2013-10-18T00:00:00Z,Ed Lauter,74,18,10,2013
"Ike Skelton, Former Congressman From Missouri, Dies at 81","Mr. Skelton, a 17-term Democrat, was chairman of the House Armed Services Committee.",2013-10-29T00:00:00Z,Ike Skelton,81,29,10,2013
"Dean Meminger, Who Helped Knicks to a Title, Dies at 65",The speedy point guard and tenacious defender had long battled drug problems.,2013-08-24T00:00:00Z,Dean Meminger,65,24,8,2013
"George Sauer, Jets Receiver and Rebel, Is Dead at 69","Mr. Sauer, who was a wide receiver for the Jets, played a pivotal role in the team’s Super Bowl III win, but he grew to hate the life of a pro football player and retired at 27.",2013-05-11T00:00:00Z,George Sauer,69,11,5,2013
"Mike Gray, ‘China Syndrome’ Writer, Dies at 77","Mr. Gray dealt with contemporary issues in his work, including race relations and American drug policy.",2013-05-04T00:00:00Z,Mike Gray,77,4,5,2013
"James H. Steele, Pioneer in Veterinary Public Health, Dies at 100",Dr. Steele helped establish mass vaccination and prevention programs in the United States and abroad for diseases that pass from animals to people.,2013-11-22T00:00:00Z,James H. Steele,100,22,11,2013
