LAT,LON                                                                                                                  ,Urban,Rural,"Housing units, total","low access, people at 1 mile "
42.1040282,-76.0971347,1,0,2326,4463.943587
42.1379753,-76.077042,0,1,1105,2766.945299
42.1314379,-76.0414285,1,0,2405,1746.164513
42.1103346,-76.0516103,1,0,1884,0
42.1027703,-76.0471265,1,0,857,0
42.0990091,-76.0642047,1,0,1794,355.6710944
42.088089,-76.0803925,1,0,1523,661.8432056
42.1219837,-75.95341,1,0,1610,214.7929276
42.1141366,-75.9591539,1,0,1035,0
42.1098577,-75.9576299,1,0,1316,0
42.1052764,-75.9599336,1,0,1440,1140.885321
42.135947,-75.9655623,1,0,1330,1041.47771
42.0832952,-75.9999585,1,0,2130,767.5888195
42.0847623,-75.9677373,1,0,1295,9093.999854
42.0850308,-76.030547,1,0,2074,284.0049927
42.0702352,-76.0698406,0,1,1442,2387.023277
42.0335405,-76.045135,1,0,1997,5008.232698
42.5302164,-79.0311892,0,1,99,312.7850494
42.2310456,-78.314009,0,1,0,0
42.1241177,-78.6704159,1,0,2699,1165.035244
42.4432152,-78.3910557,0,1,1348,3516.126782
42.4531424,-78.5027988,0,1,1891,4263.126357
42.4350761,-78.7020241,0,1,1879,4624.999986
42.4501266,-78.9802698,0,1,1763,2424.511951
42.3186033,-78.9611825,0,1,1766,4579.595374
42.2291131,-78.8273951,0,1,1359,3424.526131
42.2705797,-78.6919963,0,1,1411,2339.688507
42.3357746,-78.5051502,0,1,1755,2328.456091
42.1456436,-78.404707,1,0,1909,4440.889732
42.1451195,-78.5713158,0,1,1666,1559.642985
42.0428416,-78.3674013,0,1,1498,2295.576558
42.0601911,-78.674406,0,1,1650,2889.99717
42.1241377,-78.9816961,0,1,1921,3236.911938
42.0947869,-78.4338047,1,0,1020,127.4530449
42.0763534,-78.451009,1,0,1679,0
42.0823969,-78.4358508,1,0,1687,0
42.0742048,-78.4181704,1,0,2068,428.9101253
42.2533977,-78.4338235,0,1,1195,2983.999994
43.265065,-76.6645422,0,1,1840,4699.99998
43.1677843,-76.5390298,0,1,1786,4742.999988
43.1059857,-76.6410936,0,1,1614,2714.790471
43.0456654,-76.5456115,0,1,1785,2393.489815
42.9949698,-76.6525354,0,1,1239,3266.99999
42.9775784,-76.5183651,0,1,1257,3326.907677
42.8937652,-76.4932834,0,1,1538,3470.223356
42.7812489,-76.4204198,0,1,1531,2316.244576
42.6891179,-76.3568342,0,1,1523,4062.999983
42.7057272,-76.6063654,0,1,1867,5188.999981
42.8173942,-76.5677756,0,1,1731,4320.244679
42.886952,-76.6741855,0,1,2043,3165.431851
42.9436732,-76.5817932,1,0,1688,1435.499313
42.9463087,-76.5542344,1,0,2419,103.5901977
42.936578,-76.548585,1,0,1228,357.0682427
42.9299178,-76.5459515,1,0,1071,279.5411497
42.9197551,-76.5567893,1,0,1810,819.8923155
42.9182372,-76.5774987,1,0,2104,244.5781345
